id;movie_name;jhi_release;author;view;description;number_episode;avatar;link_movie
1;wound bare;2025-01-13;version tributary;32756;explode;21170;ick over pfft;strict
2;regarding apropos whimsical;2025-01-13;closely meh soggy;29296;pants beret yet;6111;behind;besides carefree confute
3;around duh;2025-01-12;poetry confusion;26598;incidentally whose;6179;please;filthy
4;in-joke faint reprove;2025-01-12;avaricious unaccountably;23673;flash truthfully spirited;24472;distant;overcoat widow asset
5;toward gosh;2025-01-13;yum except absolve;14660;not;2525;yahoo utter tedious;inject academics
6;whoa sophisticated;2025-01-12;tensely loftily pfft;16924;joshingly;13750;ameliorate remarkable;mosh dearest
7;pro stale ah;2025-01-13;despite notwithstanding;7799;about deeply before;2442;offensively sarcastic dim;psst outside repurpose
8;knight warming ridge;2025-01-12;pfft;26333;winged yet;23745;thrifty realistic inside;drive
9;unto;2025-01-12;randomize vaguely;15416;till what;21379;athwart assail needily;observe
10;necklace;2025-01-13;fat sugary geez;9601;willow sheepishly;23462;tenderly;what
